,statcd,ac_year,statname,area_sqkm,total_districts,blocks,clusters,villages,schools,tot_population,urban_population,population_0_6,grwoth_rate,sexratio,sc_population,st_population,literacy_rate,male_literacy_rate,female_literacy_rate,govt_sch_1,govt_sch_2,govt_sch_3,govt_sch_4,govt_sch_5,govt_sch_6,govt_sch_7,govt_sch_9,pvt_sch_1,pvt_sch_2,pvt_sch_3,pvt_sch_4,pvt_sch_5,pvt_sch_6,pvt_sch_7,pvt_sch_9,un_sch_1,un_sch_2,un_sch_3,un_sch_4,un_sch_5,un_sch_6,un_sch_7,un_sch_9,govt_sch_r_1,govt_sch_r_2,govt_sch_r_3,govt_sch_r_4,govt_sch_r_5,govt_sch_r_6,govt_sch_r_7,govt_sch_r_9,pvt_sch_r_1,pvt_sch_r_2,pvt_sch_r_3,pvt_sch_r_4,pvt_sch_r_5,pvt_sch_r_6,pvt_sch_r_7,pvt_sch_r_9,sing_cls_sch_1,sing_cls_sch_2,sing_cls_sch_3,sing_cls_sch_4,sing_cls_sch_5,sing_cls_sch_6,sing_cls_sch_7,sing_cls_sch_all,sing_tch_sch_1,sing_tch_sch_2,sing_tch_sch_3,sing_tch_sch_4,sing_tch_sch_5,sing_tch_sch_6,sing_tch_sch_7,sing_tch_sch_all,app_by_road_1,app_by_road_2,app_by_road_3,app_by_road_4,app_by_road_5,app_by_road_6,app_by_road_7,app_by_road_all,playgnd_1,playgnd_2,playgnd_3,playgnd_4,playgnd_5,playgnd_6,playgnd_7,playgnd_all,bndrywall_1,bndrywall_2,bndrywall_3,bndrywall_4,bndrywall_5,bndrywall_6,bndrywall_7,bndrywall_all,girls_toilet_1,girls_toilet_2,girls_toilet_3,girls_toilet_4,girls_toilet_5,girls_toilet_6,girls_toilet_7,girls_toilet_all,boys_toilet_1,boys_toilet_2,boys_toilet_3,boys_toilet_4,boys_toilet_5,boys_toilet_6,boys_toilet_7,boys_toilet_all,water_1,water_2,water_3,water_4,water_5,water_6,water_7,water_all,mdm_1,mdm_2,mdm_3,mdm_4,mdm_5,mdm_6,mdm_7,mdm_all,electric_1,electric_2,electric_3,electric_4,electric_5,electric_6,electric_7,electric_all,computer_1,computer_2,computer_3,computer_4,computer_5,computer_6,computer_7,computer_all,ramps_1,ramps_2,ramps_3,ramps_4,ramps_5,ramps_6,ramps_7,ramps_all,sch_2001_1,sch_2001_2,sch_2001_3,sch_2001_4,sch_2001_5,sch_2001_6,sch_2001_7,sch_2001_all,kitshed_1,kitshed_2,kitshed_3,kitshed_4,kitshed_5,kitshed_6,kitshed_7,kitshed_all,no_fem_sch_1,no_fem_sch_2,no_fem_sch_3,no_fem_sch_4,no_fem_sch_5,no_fem_sch_6,no_fem_sch_7,no_fem_sch_all,less_50_e_1,less_50_e_2,less_50_e_3,less_50_e_4,less_50_e_5,less_50_e_6,less_50_e_7,less_50_e_all,smc_1,smc_2,smc_3,smc_4,smc_5,smc_6,smc_7,smc_all,sing_cls_sch_py_1,sing_cls_sch_py_2,sing_cls_sch_py_3,sing_cls_sch_py_4,sing_cls_sch_py_5,sing_cls_sch_py_6,sing_cls_sch_py_7,sing_cls_sch_py_all,sing_tch_sch_py_1,sing_tch_sch_py_2,sing_tch_sch_py_3,sing_tch_sch_py_4,sing_tch_sch_py_5,sing_tch_sch_py_6,sing_tch_sch_py_7,sing_tch_sch_py_all,app_by_road_py_1,app_by_road_py_2,app_by_road_py_3,app_by_road_py_4,app_by_road_py_5,app_by_road_py_6,app_by_road_py_7,1412178,playgnd_py_1,playgnd_py_2,playgnd_py_3,playgnd_py_4,playgnd_py_5,playgnd_py_6,playgnd_py_7,playgnd_py_all,bndrywall_py_1,bndrywall_py_2,bndrywall_py_3,bndrywall_py_4,bndrywall_py_5,bndrywall_py_6,bndrywall_py_7,bndrywall_py_all,girls_toilet_py_1,girls_toilet_py_2,girls_toilet_py_3,girls_toilet_py_4,girls_toilet_py_5,girls_toilet_py_6,girls_toilet_py_7,girls_toilet_py_all,boys_toilet_py_1,boys_toilet_py_2,boys_toilet_py_3,boys_toilet_py_4,boys_toilet_py_5,boys_toilet_py_6,boys_toilet_py_7,boys_toilet_py_all,water_py_1,water_py_2,water_py_3,water_py_4,water_py_5,water_py_6,water_py_7,water_py_all,mdm_py_1,mdm_py_2,mdm_py_3,mdm_py_4,mdm_py_5,mdm_py_6,mdm_py_7,mdm_py_all,electric_py_1,electric_py_2,electric_py_3,electric_py_4,electric_py_5,electric_py_6,electric_py_7,electric_py_all,computer_py_1,computer_py_2,computer_py_3,computer_py_4,computer_py_5,computer_py_6,computer_py_7,computer_py_all,ramps_py_1,ramps_py_2,ramps_py_3,ramps_py_4,ramps_py_5,ramps_py_6,ramps_py_7,ramps_py_all,sch_2001_py_1,sch_2001_py_2,sch_2001_py_3,sch_2001_py_4,sch_2001_py_5,sch_2001_py_6,sch_2001_py_7,sch_2001_py_all,tot_cls1,tot_cls2,tot_cls3,tot_cls4,tot_cls5,tot_cls6,tot_cls7,tot_cls,cls_good1,cls_good2,cls_good3,cls_good4,cls_good5,cls_good6,cls_good7,cls_good,cls_minor1,cls_minor2,cls_minor3,cls_minor4,cls_minor5,cls_minor6,cls_minor7,cls_minor,cls_major1,cls_major2,cls_major3,cls_major4,cls_major5,cls_major6,cls_major7,cls_major,cls_other1,cls_other2,cls_other3,cls_other4,cls_other5,cls_other6,cls_other7,cls_other,sdg_1,sdg_2,sdg_3,sdg_4,sdg_5,sdg_6,sdg_7,sdg,tlm_1,tlm_2,tlm_3,tlm_4,tlm_5,tlm_6,tlm_7,tlm,tlm_utilized,sdg_utilized,instruc_days,instruc_days_up,govt_enr_1,govt_enr_2,govt_enr_3,govt_enr_4,govt_enr_5,govt_enr_6,govt_enr_7,govt_enr_9,pvt_enr_1,pvt_enr_2,pvt_enr_3,pvt_enr_4,pvt_enr_5,pvt_enr_6,pvt_enr_7,pvt_enr_9,govt_enr_r_1,govt_enr_r_2,govt_enr_r_3,govt_enr_r_4,govt_enr_r_5,govt_enr_r_6,govt_enr_r_7,govt_enr_r_9,pvt_enr_r_1,pvt_enr_r_2,pvt_enr_r_3,pvt_enr_r_4,pvt_enr_r_5,pvt_enr_r_6,pvt_enr_r_7,pvt_enr_r_9,enr_sing_tch_sch_1,enr_sing_tch_sch_2,enr_sing_tch_sch_3,enr_sing_tch_sch_4,enr_sing_tch_sch_5,enr_sing_tch_sch_6,enr_sing_tch_sch_7,enr_sing_tch_sch_all,girls_enr_1,girls_enr_2,girls_enr_3,girls_enr_4,girls_enr_5,girls_enr_6,girls_enr_7,girls_enr_all,enr_sing_tch_sch_py_1,enr_sing_tch_sch_py_2,enr_sing_tch_sch_py_3,enr_sing_tch_sch_py_4,enr_sing_tch_sch_py_5,enr_sing_tch_sch_py_6,enr_sing_tch_sch_py_7,enr_sing_tch_sch_py_a,girls_enr_py_1,girls_enr_py_2,girls_enr_py_3,girls_enr_py_4,girls_enr_py_5,girls_enr_py_6,girls_enr_py_7,girls_enr_py_all,enr_g_c1,enr_g_c2,enr_g_c3,enr_g_c4,enr_g_c5,enr_g_c6,enr_g_c7,enr_g_c8,enr_c_1,enr_c_2,enr_c_3,enr_c_4,enr_c_5,enr_c_6,enr_c_7,enr_c_8,enr_dis_b_c1,enr_dis_b_c2,enr_dis_b_c3,enr_dis_b_c4,enr_dis_b_c5,enr_dis_b_c6,enr_dis_b_c7,enr_dis_b_c8,enr_dis_g_c1,enr_dis_g_c2,enr_dis_g_c3,enr_dis_g_c4,enr_dis_g_c5,enr_dis_g_c6,enr_dis_g_c7,enr_dis_g_c8,sc_enrp,scg_enrp,sc_enrup,scg_enrup,st_enrp,stg_enrp,st_enrup,stg_enrup,obc_enrp,obcg_enrp,obc_enrup,obcg_enrup,muslim_enrp,muslimg_enrp,muslim_enrup,muslimg_enrup,rep_c1,rep_c2,rep_c3,rep_c4,rep_c5,rep_c6,rep_c7,rep_c8,enr_med1_1,enr_med1_2,enr_med1_3,enr_med1_4,enr_med1_5,enr_med1_6,enr_med1_7,enr_med2_1,enr_med2_2,enr_med2_3,enr_med2_4,enr_med2_5,enr_med2_6,enr_med2_7,enr_med3_1,enr_med3_2,enr_med3_3,enr_med3_4,enr_med3_5,enr_med3_6,enr_med3_7,nerp_cy,nerup_cy,retention,un_enr_1,un_enr_2,un_enr_3,un_enr_4,un_enr_5,un_enr_6,un_enr_7,un_enr_9,transitionrate,grossness_p,grossness_up,text_p,text_up,textb_sc_p,textb_sc_up,textb_st_p,textb_st_up,uniform_p,uniform_up,uniform_sc_p,uniform_sc_up,uniform_st_p,uniform_st_up,govt_tch_1,govt_tch_2,govt_tch_3,govt_tch_4,govt_tch_5,govt_tch_6,govt_tch_7,govt_tch_9,pvt_tch_1,pvt_tch_2,pvt_tch_3,pvt_tch_4,pvt_tch_5,pvt_tch_6,pvt_tch_7,pvt_tch_9,tch_f1,tch_f2,tch_f3,tch_f4,tch_f5,tch_f6,tch_f7,tch_f,fem_tch_py_1,fem_tch_py_2,fem_tch_py_3,fem_tch_py_4,fem_tch_py_5,fem_tch_py_6,fem_tch_py_7,fem_tch_all,tch_bs1,tch_bs2,tch_bs3,tch_bs4,tch_bs5,tch_bs6,tch_bs7,tch_bs,tch_s1,tch_s2,tch_s3,tch_s4,tch_s5,tch_s6,tch_s7,tch_s,tch_hs1,tch_hs2,tch_hs3,tch_hs4,tch_hs5,tch_hs6,tch_hs7,tch_hs,tch_grad1,tch_grad2,tch_grad3,tch_grad4,tch_grad5,tch_grad6,tch_grad7,tch_grad,tch_pgrad1,tch_pgrad2,tch_pgrad3,tch_pgrad4,tch_pgrad5,tch_pgrad6,tch_pgrad7,tch_pgrad,tch_mph1,tch_mph2,tch_mph3,tch_mph4,tch_mph5,tch_mph6,tch_mph7,tch_mph,tch_pd1,tch_pd2,tch_pd3,tch_pd4,tch_pd5,tch_pd6,tch_pd7,tch_pd,tch_eduqual_nr1,tch_eduqual_nr2,tch_eduqual_nr3,tch_eduqual_nr4,tch_eduqual_nr5,tch_eduqual_nr6,tch_eduqual_nr7,tch_eduqual_nr,tch_bs_p,tch_s_p,tch_hs_p,tch_grad_p,tch_pgrad_p,tch_mph_p,tch_pd_p,tch_eduqual_nr_p,tch_m1,tch_m2,tch_m3,tch_m4,tch_m5,tch_m6,tch_m7,tch_m,tch_nr1,tch_nr2,tch_nr3,tch_nr4,tch_nr5,tch_nr6,tch_nr7,tch_nr,tch_m_p1,tch_m_p2,tch_m_p3,tch_m_p4,tch_m_p5,tch_m_p6,tch_m_p7,tch_m_p,tch_f_p1,tch_f_p2,tch_f_p3,tch_f_p4,tch_f_p5,tch_f_p6,tch_f_p7,tch_f_p,tch_nr_p1,tch_nr_p2,tch_nr_p3,tch_nr_p4,tch_sc_m1,tch_sc_m2,tch_sc_m3,tch_sc_m4,tch_sc_m5,tch_sc_m6,tch_sc_m7,tch_sc_m,tch_sc_f1,tch_sc_f2,tch_sc_f3,tch_sc_f4,tch_sc_f5,tch_sc_f6,tch_sc_f7,tch_sc_f,tch_st_m1,tch_st_m2,tch_st_m3,tch_st_m4,tch_st_m5,tch_st_m6,tch_st_m7,tch_st_m,tch_st_f1,tch_st_f2,tch_st_f3,tch_st_f4,tch_st_f5,tch_st_f6,tch_st_f7,tch_st_f,tch_55_56_m,tch_55_56_f,tch_57_58_m,tch_57_58_f,tch_59_60_m,tch_59_60_f,ttrn_tch_m1,trn_tch_m2,trn_tch_m3,trn_tch_m4,trn_tch_m5,trn_tch_m6,trn_tch_m7,trn_tch_f1,trn_tch_f2,trn_tch_f3,trn_tch_f4,trn_tch_f5,trn_tch_f6,trn_tch_f7,trained_tchgr_m,trained_tchgr_f,trained_tchgr,trained_tchgp_m,trained_tchgp_f,trained_tchgp,trained_tchp_m,trained_tchp_f,trained_tchp,un_tch_1,un_tch_2,un_tch_3,un_tch_4,un_tch_5,un_tch_6,un_tch_7,un_tch_9,days_nontch,tch_nontch
0,0,2013-14,INDIA,3287240,662,7214,83738,593171,1448712,1210193.4,31.16,13.1,17.6,940,16.6,8.6,74.04,82.1,65.5,726114,175738,3279,120208,24330,10414,33818,68,112826,88864,26770,25621,16099,25119,24685,6,19976,9759,643,1334,528,1270,708,535,681149,159203,1738,113575,19633,9309,29802,8,76579,50648,12469,21107,11215,13555,15747,2,61207,1544,247,2674,762,283,4265,71016,98446,3259,205,17576,386,211,484,120571,745943,249553,29744,136669,39069,34185,55846,1291055,442104,172675,27070,95938,31342,27960,43904,841033,449995,207757,28377,74383,33854,30915,45423,870768,80.85,91.33,98.65,86.1,97.22,95.12,83.65,84.65,92.93,97.34,99.31,94.37,98.83,98.14,96.56,94.46,808116,269358,30417,138188,40630,36301,57662,1380779,88.47,92.76,51.95,91.26,88.37,81.41,71.8,88.6,359450,186337,29032,56018,37892,30140,50592,749554,79451,115606,25373,26816,31332,23810,35085,337515,84.09,81.19,80.75,82.61,82.13,69.83,70.99,82.33,234908,59367,8619,74409,4798,11185,11986,405289,75.77,78.2,70.93,68.0,75.76,76.92,63.82,74.92,222101,44780,2266,47443,6427,4364,10833,338228,367920,24578,1189,42196,3902,1603,10972,452943,91.62,95.03,65.29,94.5,80.37,76.06,70.94,91.08,67152,1809,270,2628,984,259,2512,75626,100684,3006,292,18672,589,192,344,123791,729057,238989,32253,135403,54650,28641,33500,1252598,425356,167182,29380,94075,44178,23239,26524,809995,438350,204326,31918,74085,47827,26806,28115,851530,85.3,93.59,98.4,89.36,94.45,96.04,91.44,88.34,62.06,74.07,89.06,74.66,68.7,82.45,68.26,67.09,800301,263680,34030,137821,56019,31087,35193,1358267,96.12,96.68,55.64,91.44,87.16,87.08,91.48,94.84,341125,181227,31799,53061,52984,24818,29621,714737,74187,108842,26907,24799,42175,19072,20306,316307,0,0,0,0,0,0,0,0,223588,52685,8925,72529,10363,8411,4617,381151,3041573,2000392,432608,587790,275750,351646,310531,7000589,2357009,1686005,421067,465040,233566,322880,257021,5742869,411210,186892,8814,76283,25732,18843,32854,760642,275305,128220,3095,46727,16632,10017,21160,501164,907196,507964,170611,205168,183346,126328,191555,2292175,662259,172633,2332,109589,25131,8502,31327,0.0,611375,157611,2122,102138,19071,7941,29873,0.0,44.83,43.22,224.0,225.0,56770603,37002826,1786447,11512644,7182985,2691235,4991290,22832,17970191,20046481,12703810,3561020,5212668,7363318,4333964,40276,51472372,32796880,651688,10639405,5360868,2377829,4137272,17919,11148617,10249870,5058637,2905010,3192711,3601535,2284179,22691,5347405,412218,79184,1318378,63530,51899,53304,7326031,37575247,28290107,6570540,7952319,5970256,4633214,4711796,96175927,5429171,396828,82012,1485961,83533,40731,39488,7558131,39170477,27864210,6748497,8159644,7316443,3893714,3046561,96791729,12986088,13002884,12859712,12692711,12295468,11099532,10835031,10409430,27164511,27000299,26658523,26222911,25382196,22823843,22272116,21375260,177748,198023,218665,212873,193461,153379,149493,129334,120877,145126,160692,151372,142307,122204,121397,107189,26320625,12716241,12899653,6290164,14680266,7095897,6465472,3150570,58399242,28315205,29542005,14419602,18988724,9327267,8325366,4277718,593516,308789,266744,265238,238966,192527,181292,177268,45227573,27442800,4202921,11791653,3236882,4124720,1781645,5499776,6898143,9032996,322603,932352,4261977,2017918,6777319,355948,213086,1041737,3906505,187708,1193029,88.08,70.2,82.38,1632383,2029316,280285,129349,214145,370034,107456,1203,89.58,115040844,52225435,82097045,45389011,18894616,10134368,12140845,5520457,53687725,25871408,13766843,6700262,7956793,3423824,2020431,1136669,104261,424533,469105,109936,347174,320,590024,738093,571543,124860,310638,324710,248851,18,1103672,923106,445829,166394,307452,235942,213890,0,1233751,907585,415332,171548,366095,187312,128015,3409765,55132,29776,6933,9948,3190,4612,2130,6,333984,261554,22057,26354,30541,23994,25562,45,667983,495557,50070,91675,38972,62791,39032,56,857949,718492,270146,207226,250088,215373,296017,147,443571,333492,295524,183890,390987,115132,209465,74,15429,16705,18907,4205,39339,5106,6686,2,329,322,413,141,595,121,138,0,6895,11765,6048,2893,4248,2503,1107,0,7876,35295,134522,235753,91377,2992,85,454,1274175,941941,221947,357465,447935,192819,365682,0,3427,2616,2322,2473,2573,871,565,0,153541,53955,4266,16961,14971,10243,9116,0,149348,34259,10089,13778,15164,9495,13126,0,17,2,1,14,227308,130417,23437,53845,69954,22825,47045,0,155892,96220,29214,22634,38533,17145,26224,0,190112,98062,10206,46379,18898,22217,26239,0,109596,68055,11338,23556,9744,16794,12927,0,82846,42292,46392,18831,19095,6428,415157,305158,11871,71094,48592,14584,49456,346827,288377,21609,38743,47108,14169,28604,17.34,16.68,17.19,41.75,52.32,46.65,34.91,28.63,22.25,73739,81121,8651,7692,8352,14724,6356,102,16.0,193541
1,1,2013-14,JAMMU AND KASHMIR,222236,22,201,1618,7256,28307,12548.93,20.05,16.01,23.71,883,7.4,11.9,68.74,78.26,58.01,13288,7867,115,135,103,1328,398,0,1338,2090,386,1,2,1255,1,0,0,0,0,0,0,0,0,0,12546,7293,95,116,93,1201,364,0,1125,1566,171,1,2,719,0,0,2430,190,2,4,15,10,6,2657,1702,23,0,1,0,0,0,1726,11171,8416,485,128,96,2324,378,22998,3097,4422,452,41,83,1995,237,10327,2855,3689,437,49,75,1738,246,9089,52.9,74.53,95.71,81.75,94.95,89.42,94.65,65.41,74.06,89.98,99.38,85.0,97.98,96.59,98.61,82.58,12584,9202,495,129,102,2518,391,25421,99.46,99.64,69.57,76.3,85.44,98.87,98.49,99.13,1355,2089,471,49,82,1770,215,6031,527,1886,436,12,75,1409,130,4475,56.96,69.97,73.68,77.78,66.67,72.46,56.06,66.14,10482,1876,53,109,4,191,4,12719,43.91,66.13,76.25,45.65,56.63,75.56,55.96,54.16,5239,2180,9,5,12,329,92,7866,13145,3201,21,103,56,287,233,17046,83.17,88.43,68.7,83.7,73.79,90.36,93.97,85.44,2665,207,4,3,16,3,5,2903,1902,24,0,1,0,1,0,1928,11641,8571,857,122,137,1926,315,23569,2973,4404,772,39,108,1628,200,10124,2836,3583,708,51,108,1432,201,8919,50.81,73.65,95.77,78.33,96.4,91.77,94.1,64.19,14.13,29.88,66.44,31.58,50.0,61.97,40.78,25.43,12279,9072,887,123,144,2054,315,24874,97.52,99.38,84.03,74.05,83.67,98.34,96.88,97.79,1323,2021,710,46,102,1374,153,5729,488,1760,662,11,91,1119,97,4228,853,2029,156,17,22,454,74,3605,10292,1761,84,105,5,147,2,12396,38292,56977,7865,555,527,23136,1966,129318,28616,41306,7659,408,423,19762,1333,99507,7328,11504,154,102,74,2449,501,22112,2369,4176,61,45,30,934,132,7747,7044,12811,3452,246,525,8840,1295,34213,6465,4115,39,24,30,578,141,0.0,6550,4004,39,38,28,528,127,0.0,95.45,91.84,206.47,206.94,330999,549166,35097,6021,7128,127903,20394,0,69016,276105,133389,31,84,285810,35,0,315029,505869,23136,5183,6527,116287,18414,0,56437,204150,49106,31,84,159239,0,0,32520,884,0,25,0,0,0,33429,198336,398360,73313,4865,2766,188632,9703,875975,36666,913,0,25,0,0,0,37604,195221,408952,99361,5175,4500,155126,9987,878322,136035,121448,113902,108923,102759,96688,96490,99730,285555,254463,238709,228327,216408,203292,203246,211178,2004,1732,1758,1633,1591,1407,1347,1267,1271,1163,1216,1122,1138,965,1023,902,101203,47577,53677,24778,197664,94462,81407,37877,103836,49948,51548,24910,820113,397781,401643,194984,2836,1569,1566,1044,1168,2045,1877,3681,398865,823426,168321,6052,6940,413372,20321,573,694,0,0,0,262,0,169,0,165,0,272,79,0,68.99,55.32,74.2,0,0,0,0,0,0,0,0,93.25,994182,471791,670862,351182,63532,36595,163157,69028,1838,2689,251,207,519,960,27461,44287,2460,859,1887,14522,4564,0,7812,20628,8131,5,18,19132,6,0,14436,26644,6647,712,611,16678,1351,0,14179,26666,8280,713,753,13150,1124,64865,14,17,0,0,0,7,0,0,1879,3276,286,11,29,1193,97,0,12167,14901,739,115,83,4731,241,0,13310,29636,4783,349,430,16640,2106,0,7511,16132,4613,358,1286,10599,2052,0,160,405,136,9,73,289,44,0,0,2,6,0,2,3,1,0,0,0,0,0,0,0,0,0,0,38,175,512,312,14,0,0,20605,37725,3916,130,1292,16784,3190,0,0,0,0,0,0,0,0,0,124,343,12,1,1,123,17,0,108,203,16,21,1,69,12,0,0,0,0,0,1053,1472,247,2,94,820,67,0,852,1299,242,4,30,757,17,0,2758,4241,204,4,79,1408,340,0,1200,2074,113,78,16,739,103,0,651,566,20,10,13,1,5063,6528,3,25,14,676,333,2083,2463,5,138,7,236,110,52.91,66.27,57.85,42.13,78.02,57.11,40.51,40.71,40.63,0,0,0,0,0,0,0,0,14.54,3320
2,2,2013-14,HIMACHAL PRADESH,55673,12,124,2216,10056,17720,6856.51,8.69,11.14,12.81,974,25.2,5.7,83.78,90.83,76.6,10656,5,27,2322,1373,3,833,0,633,713,553,1,10,580,7,0,3,1,0,0,0,0,0,0,10430,2,15,2277,1293,2,816,0,580,648,411,0,6,481,4,0,378,1,2,159,26,0,19,585,1262,1,0,113,0,0,1,1377,8800,703,574,1874,1256,569,704,14480,9392,693,563,1879,1321,572,759,15179,6873,494,475,1396,996,431,539,11204,93.5,98.47,100.0,93.03,98.52,99.83,97.86,94.65,97.35,99.86,100.0,94.99,99.56,99.83,99.27,97.57,11173,719,580,2282,1381,583,835,17553,99.73,0.0,7.14,99.4,98.98,0.0,99.64,99.38,9522,700,579,1882,1370,580,807,15440,423,595,550,334,1122,538,420,3982,94.69,0.0,62.5,86.08,92.74,0.0,90.02,93.02,902,534,204,1234,65,270,109,3318,89.23,0.0,100.0,83.59,91.68,0.0,90.01,88.66,3560,3,1,811,52,2,130,4559,9259,197,35,1861,298,46,353,12049,99.96,40.0,60.71,99.61,99.49,0.0,100.0,99.76,423,1,1,130,28,1,21,605,1153,0,0,64,0,0,1,1218,8863,652,430,1837,1239,684,713,14418,9112,646,420,1835,1265,688,753,14719,6080,441,360,1213,916,522,489,10021,97.09,99.25,100.0,96.67,99.39,99.86,99.05,97.57,68.01,82.96,96.07,71.2,87.12,93.87,79.76,72.73,11147,668,434,2247,1347,701,840,17384,99.59,0.0,4.17,98.73,98.65,0.0,99.53,99.14,9184,657,431,1815,1335,697,800,14919,427,552,409,293,1073,646,408,3808,6910,92,68,1159,973,105,584,9891,872,482,132,1177,65,310,110,3148,35405,6212,6920,6857,4634,5236,2604,67868,24598,5997,6840,5375,3314,5165,1845,53134,6585,188,70,1166,950,65,541,9565,4226,27,11,316,373,8,225,5186,14036,1673,3549,3159,4662,2285,2138,31502,10138,4,5,2095,1295,2,787,0.0,9472,1,5,2016,1249,3,761,0.0,99.37,97.8,239.59,239.15,361329,924,9996,81579,123147,663,51193,0,22881,62300,161415,48,1187,91370,912,0,346036,416,5290,79396,112674,371,50131,0,20047,55001,103289,0,630,73349,732,0,24838,79,0,2320,0,0,10,27247,192643,26916,72312,40707,61620,39001,26239,459438,23412,0,0,1485,0,0,84,24981,202958,24982,59593,42482,62029,45865,27526,465435,54693,53518,56690,59757,60419,58181,57893,58287,114687,112683,119496,125007,127198,122618,122564,124842,689,883,1101,1134,1258,1068,1048,926,502,652,733,813,891,790,684,714,167790,81994,102585,49681,32933,15972,20597,9990,76393,36091,51733,24270,13596,5944,6500,2913,1405,1279,1211,1306,1090,1068,1040,1023,364494,15597,25370,81022,117900,18644,50700,19493,47477,145687,517,6425,73305,1277,71,268,354,33,184,119,128,83.71,78.44,99.4,118,33,0,0,0,0,0,0,97.85,499028,285133,372381,304257,138362,108902,24557,20782,360462,247504,132770,84405,23413,15811,25262,47,625,9014,23283,38,6015,0,2902,6182,9671,12,187,6684,79,0,11847,4121,6759,1933,8192,4253,1808,0,12675,3879,5116,2391,8428,5210,2019,39718,107,6,6,20,10,4,4,0,8615,326,396,1741,1736,287,830,0,4737,839,722,922,1047,705,437,0,7452,2561,3273,2300,4088,2737,1633,0,5185,2056,5211,2476,13873,2496,2354,0,207,76,312,144,1563,94,156,0,3,1,4,3,8,2,0,0,0,0,0,0,0,0,0,0,0,420,1087,2163,2446,138,0,0,14459,1744,3165,5673,14133,2072,3606,0,0,0,0,0,0,0,0,0,1174,134,109,1047,727,145,462,0,694,238,263,373,418,252,218,0,0,0,0,0,3282,311,395,1147,2315,345,702,0,1605,510,497,332,1086,414,298,0,1423,92,137,472,905,100,308,0,884,203,214,153,565,195,137,0,661,358,11,6,4,1,9049,4,3,3737,2002,9,1453,5939,19,5,1227,1218,31,648,96.06,96.68,96.29,90.38,90.03,90.27,93.48,90.54,91.43,10,8,0,0,0,0,0,0,12.52,2870
