,statcd,ac_year,statname,area_sqkm,total_districts,districts_covered,blocks,clusters,villages,schools,tot_population,urban_population,population_0_6,grwoth_rate,sexratio,sc_population,st_population,literacy_rate,male_literacy_rate,female_literacy_rate,statcd,ac_year,statname,govt_sch_1,govt_sch_2,govt_sch_3,govt_sch_4,govt_sch_5,govt_sch_6,govt_sch_7,govt_sch_9,pvt_sch_1,pvt_sch_2,pvt_sch_3,pvt_sch_4,pvt_sch_5,pvt_sch_6,pvt_sch_7,pvt_sch_9,un_sch_1,un_sch_2,un_sch_3,un_sch_4,un_sch_5,un_sch_6,un_sch_7,un_sch_9,govt_sch_r_1,govt_sch_r_2,govt_sch_r_3,govt_sch_r_4,govt_sch_r_5,govt_sch_r_6,govt_sch_r_7,govt_sch_r_9,pvt_sch_r_1,pvt_sch_r_2,pvt_sch_r_3,pvt_sch_r_4,pvt_sch_r_5,pvt_sch_r_6,pvt_sch_r_7,pvt_sch_r_9,sing_cls_sch_1,sing_cls_sch_2,sing_cls_sch_3,sing_cls_sch_4,sing_cls_sch_5,sing_cls_sch_6,sing_cls_sch_7,sing_cls_sch_all,sing_tch_sch_1,sing_tch_sch_2,sing_tch_sch_3,sing_tch_sch_4,sing_tch_sch_5,sing_tch_sch_6,sing_tch_sch_7,sing_tch_sch_all,app_by_road_1,app_by_road_2,app_by_road_3,app_by_road_4,app_by_road_5,app_by_road_6,app_by_road_7,app_by_road_all,playgnd_1,playgnd_2,playgnd_3,playgnd_4,playgnd_5,playgnd_6,playgnd_7,playgnd_all,bndrywall_1,bndrywall_2,bndrywall_3,bndrywall_4,bndrywall_5,bndrywall_6,bndrywall_7,bndrywall_all,girls_toilet_1,girls_toilet_2,girls_toilet_3,girls_toilet_4,girls_toilet_5,girls_toilet_6,girls_toilet_7,girls_toilet_all,boys_toilet_1,boys_toilet_2,boys_toilet_3,boys_toilet_4,boys_toilet_5,boys_toilet_6,boys_toilet_7,boys_toilet_all,water_1,water_2,water_3,water_4,water_5,water_6,water_7,water_all,mdm_1,mdm_2,mdm_3,mdm_4,mdm_5,mdm_6,mdm_7,mdm_all,electric_1,electric_2,electric_3,electric_4,electric_5,electric_6,electric_7,electric_all,computer_1,computer_2,computer_3,computer_4,computer_5,computer_6,computer_7,computer_all,ramps_1,ramps_2,ramps_3,ramps_4,ramps_5,ramps_6,ramps_7,ramps_all,sch_2001_1,sch_2001_2,sch_2001_3,sch_2001_4,sch_2001_5,sch_2001_6,sch_2001_7,sch_2001_all,kitshed_1,kitshed_2,kitshed_3,kitshed_4,kitshed_5,kitshed_6,kitshed_7,kitshed_all,no_fem_sch_1,no_fem_sch_2,no_fem_sch_3,no_fem_sch_4,no_fem_sch_5,no_fem_sch_6,no_fem_sch_7,no_fem_sch_all,less_50_e_1,less_50_e_2,less_50_e_3,less_50_e_4,less_50_e_5,less_50_e_6,less_50_e_7,less_50_e_all,smc_1,smc_2,smc_3,smc_4,smc_5,smc_6,smc_7,smc_all,sing_cls_sch_py_1,sing_cls_sch_py_2,sing_cls_sch_py_3,sing_cls_sch_py_4,sing_cls_sch_py_5,sing_cls_sch_py_all,sing_tch_sch_py_1,sing_tch_sch_py_2,sing_tch_sch_py_3,sing_tch_sch_py_4,sing_tch_sch_py_5,sing_tch_sch_py_all,app_by_road_py_1,app_by_road_py_2,app_by_road_py_3,app_by_road_py_4,app_by_road_py_5,1412178,playgnd_py_1,playgnd_py_2,playgnd_py_3,playgnd_py_4,playgnd_py_5,playgnd_py_all,bndrywall_py_1,bndrywall_py_2,bndrywall_py_3,bndrywall_py_4,bndrywall_py_5,bndrywall_py_all,girls_toilet_py_1,girls_toilet_py_2,girls_toilet_py_3,girls_toilet_py_4,girls_toilet_py_5,girls_toilet_py_all,boys_toilet_py_1,boys_toilet_py_2,boys_toilet_py_3,boys_toilet_py_4,boys_toilet_py_5,boys_toilet_py_all,water_py_1,water_py_2,water_py_3,water_py_4,water_py_5,water_py_all,mdm_py_1,mdm_py_2,mdm_py_3,mdm_py_4,mdm_py_5,mdm_py_all,electric_py_1,electric_py_2,electric_py_3,electric_py_4,electric_py_5,electric_py_all,computer_py_1,computer_py_2,computer_py_3,computer_py_4,computer_py_5,computer_py_all,ramps_py_1,ramps_py_2,ramps_py_3,ramps_py_4,ramps_py_5,ramps_py_all,sch_2001_py_1,sch_2001_py_2,sch_2001_py_3,sch_2001_py_4,sch_2001_py_5,statcd,ac_year,statname,tot_cls1,tot_cls2,tot_cls3,tot_cls4,tot_cls5,tot_cls6,tot_cls7,tot_cls,cls_good1,cls_good2,cls_good3,cls_good4,cls_good5,cls_good6,cls_good7,cls_good,cls_minor1,cls_minor2,cls_minor3,cls_minor4,cls_minor5,cls_minor6,cls_minor7,cls_minor,cls_major1,cls_major2,cls_major3,cls_major4,cls_major5,cls_major6,cls_major7,cls_major,cls_other1,cls_other2,cls_other3,cls_other4,cls_other5,cls_other6,cls_other7,cls_other,sdg_1,sdg_2,sdg_3,sdg_4,sdg_5,sdg_6,sdg_7,sdg,tlm_1,tlm_2,tlm_3,tlm_4,tlm_5,tlm_6,tlm_7,tlm,tlm_utilized,sdg_utilized,instruc_days,instruc_days_up,days_nontch,tch_nontch,statcd,ac_year,statname,govt_enr_1,govt_enr_2,govt_enr_3,govt_enr_4,govt_enr_5,govt_enr_6,govt_enr_7,govt_enr_9,pvt_enr_1,pvt_enr_2,pvt_enr_3,pvt_enr_4,pvt_enr_5,pvt_enr_6,pvt_enr_7,pvt_enr_9,govt_enr_r_1,govt_enr_r_2,govt_enr_r_3,govt_enr_r_4,govt_enr_r_5,govt_enr_r_6,govt_enr_r_7,govt_enr_r_9,pvt_enr_r_1,pvt_enr_r_2,pvt_enr_r_3,pvt_enr_r_4,pvt_enr_r_5,pvt_enr_r_6,pvt_enr_r_7,pvt_enr_r_9,enr_sing_tch_sch_1,enr_sing_tch_sch_2,enr_sing_tch_sch_3,enr_sing_tch_sch_4,enr_sing_tch_sch_5,enr_sing_tch_sch_6,enr_sing_tch_sch_7,enr_sing_tch_sch_all,girls_enr_1,girls_enr_2,girls_enr_3,girls_enr_4,girls_enr_5,girls_enr_6,girls_enr_7,girls_enr_all,enr_sing_tch_sch_py_1,enr_sing_tch_sch_py_2,enr_sing_tch_sch_py_3,enr_sing_tch_sch_py_4,enr_sing_tch_sch_py_5,enr_sing_tch_sch_py_6,enr_sing_tch_sch_py_7,enr_sing_tch_sch_py_a,girls_enr_py_1,girls_enr_py_2,girls_enr_py_3,girls_enr_py_4,girls_enr_py_5,girls_enr_py_6,girls_enr_py_7,girls_enr_py_all,govt_enr_1.1,govt_enr_2.1,govt_enr_3.1,govt_enr_4.1,govt_enr_5.1,govt_enr_9.1,enr_g_c1,enr_g_c2,enr_g_c3,enr_g_c4,enr_g_c5,enr_g_c6,enr_g_c7,enr_g_c8,enr_c_1,enr_c_2,enr_c_3,enr_c_4,enr_c_5,enr_c_6,enr_c_7,enr_c_8,enr_dis_g_c1,enr_dis_g_c2,enr_dis_g_c3,enr_dis_g_c4,enr_dis_g_c5,enr_dis_g_c6,enr_dis_g_c7,enr_dis_g_c8,enr_dis_g_c1.1,enr_dis_g_c2.1,enr_dis_g_c3.1,enr_dis_g_c4.1,enr_dis_g_c5.1,enr_dis_g_c6.1,enr_dis_g_c7.1,enr_dis_g_c8.1,sc_enrp,scg_enrp,sc_enrup,scg_enrup,st_enrp,stg_enrp,st_enrup,stg_enrup,obc_enrp,obcg_enrp,obc_enrup,obcg_enrup,muslim_enrp,muslimg_enrp,muslim_enrup,muslimg_enrup,rep_c1,rep_c2,rep_c3,rep_c4,rep_c5,rep_c6,rep_c7,rep_c8,enr_med1_1,enr_med1_2,enr_med1_3,enr_med1_4,enr_med1_5,enr_med1_6,enr_med1_7,enr_med2_1,enr_med2_2,enr_med2_3,enr_med2_4,enr_med2_5,enr_med2_6,enr_med2_7,enr_med3_1,enr_med3_2,enr_med3_3,enr_med3_4,enr_med3_5,enr_med3_6,enr_med3_7,enr_med4_1,enr_med4_2,enr_med4_3,enr_med4_4,enr_med4_5,enr_med4_6,enr_med4_7,enr_med5_1,enr_med5_2,enr_med5_3,enr_med5_4,enr_med5_5,enr_med5_6,enr_med6_7,nerp_cy,nerup_cy,retention,un_enr_1,un_enr_2,un_enr_3,un_enr_4,un_enr_5,un_enr_6,un_enr_7,un_enr_9,transitionrate,grossness_p,grossness_up,textb_b_p,textb_g_p,textb_b_up,textb_g_up,uniform_g_p,uniform_b_up,uniform_g_up,attendance_b_p,attendance_g_p,attendance_b_up,attendance_g_up,station_b_p,station_g_p,station_b_up,station_g_up,transport_b_p,transport_g_p,transport_b_up,transport_g_up,residential_b_p,residential_g_p,residential_b_u,residential_g_u,statcd,ac_year,statname,govt_tch_1,govt_tch_2,govt_tch_3,govt_tch_4,govt_tch_5,govt_tch_6,govt_tch_7,govt_tch_9,pvt_tch_1,pvt_tch_2,pvt_tch_3,pvt_tch_4,pvt_tch_5,pvt_tch_6,pvt_tch_7,pvt_tch_9,tch_f1,tch_f2,tch_f3,tch_f4,tch_f5,tch_f6,tch_f7,tch_f,fem_tch_py_1,fem_tch_py_2,fem_tch_py_3,fem_tch_py_4,fem_tch_py_5,fem_tch_all,tch_bs1,tch_bs2,tch_bs3,tch_bs4,tch_bs5,tch_bs6,tch_bs7,tch_bs,tch_bs.1,tch_s1,tch_s2,tch_s3,tch_s4,tch_s5,tch_s6,tch_s7,tch_s,tch_hs1,tch_hs2,tch_hs3,tch_hs4,tch_hs5,tch_hs6,tch_hs7,tch_hs,tch_grad1,tch_grad2,tch_grad3,tch_grad4,tch_grad5,tch_grad6,tch_grad7,tch_grad,tch_pgrad1,tch_pgrad2,tch_pgrad3,tch_pgrad4,tch_pgrad5,tch_pgrad6,tch_pgrad7,tch_pgrad,tch_mph1,tch_mph2,tch_mph3,tch_mph4,tch_mph5,tch_mph6,tch_mph7,tch_mph,tch_pd1,tch_pd2,tch_pd3,tch_pd4,tch_pd5,tch_pd6,tch_pd7,tch_pd,tch_eduqual_nr1,tch_eduqual_nr2,tch_eduqual_nr3,tch_eduqual_nr4,tch_eduqual_nr5,tch_eduqual_nr6,tch_eduqual_nr7,tch_eduqual_nr,tch_bs_p,tch_s_p,tch_hs_p,tch_grad_p,tch_pgrad_p,tch_mph_p,tch_pd_p,tch_eduqual_nr_p,tch_m1,tch_m2,tch_m3,tch_m4,tch_m5,tch_m6,tch_m7,tch_m,tch_f1.1,tch_f2.1,tch_f3.1,tch_f4.1,tch_f5.1,tch_f6.1,tch_f7.1,tch_f.1,tch_nr1,tch_nr2,tch_nr3,tch_nr4,tch_nr5,tch_nr6,tch_nr7,tch_nr,tch_m_p1,tch_m_p2,tch_m_p3,tch_m_p4,tch_m_p5,tch_m_p6,tch_m_p7,tch_m_p,tch_f_p1,tch_f_p2,tch_f_p3,tch_f_p4,tch_f_p5,tch_f_p6,tch_f_p7,tch_f_p,tch_nr_p1,tch_nr_p2,tch_nr_p3,tch_nr_p4,tch_nr_p5,tch_nr_p6,tch_nr_p7,tch_nr_p,tch_sc_m1,tch_sc_m2,tch_sc_m3,tch_sc_m4,tch_sc_m5,tch_sc_m6,tch_sc_m7,tch_sc_m,tch_sc_f1,tch_sc_f2,tch_sc_f3,tch_sc_f4,tch_sc_f5,tch_sc_f6,tch_sc_f7,tch_sc_f,tch_st_m1,tch_st_m2,tch_st_m3,tch_st_m4,tch_st_m5,tch_st_m6,tch_st_m7,tch_st_m,tch_st_f1,tch_st_f2,tch_st_f3,tch_st_f4,tch_st_f5,tch_st_f6,tch_st_f7,tch_st_f,tch_55_56_m,tch_55_56_f,tch_57_58_m,tch_57_58_f,tch_59_60_m,tch_59_60_f,ttrn_tch_m1,trn_tch_m2,trn_tch_m3,trn_tch_m4,trn_tch_m5,trn_tch_m6,trn_tch_m7,trn_tch_f1,trn_tch_f2,trn_tch_f3,trn_tch_f4,trn_tch_f5,trn_tch_f6,trn_tch_f7,trained_tchgr_m,trained_tchgr_f,trained_tchgr,trained_tchgp_m,trained_tchgp_f,trained_tchgp,trained_tchp_m,trained_tchp_f,trained_tchp,un_tch_1,un_tch_2,un_tch_3,un_tch_4,un_tch_5,un_tch_6,un_tch_7,un_tch_9,498130,311759,10387,96028,81750,13169,43499,396585,277685,20024,48141,61954,10208,24522
0,0,2012-13,INDIA,3287240,662,662,7219,83517,593064,1431702,1210193.42,31.16,13.12,17.64,940,16.6,8.6,74.04,82.14,65.46,0,2012-13,INDIA,719257,178557,4369,119138,33635,10517,20455,791,112087,82868,27992,27210,23072,19166,15530,53,22526,8369,1998,991,557,2054,507,3,673883,161778,2847,112563,27554,9607,17912,85,76644,46860,13118,22620,13983,10661,11185,37,67152,1809,270,2628,984,259,2512,75626,100684,3006,292,18672,589,192,344,123791,729057,238989,32253,135403,54650,28641,33500,1252598,425356,167182,29380,94075,44178,23239,26524,809995,438350,204326,31918,74085,47827,26806,28115,851530,85.3,93.59,98.4,89.36,94.45,96.04,91.44,88.34,62.06,74.07000000000001,89.06,74.66,68.7,82.45,68.26,67.09,800301,263680,34030,137821,56019,31087,35193,1358267,96.12,96.68,55.64,91.44,87.16,87.08,91.48,94.84,341125,181227,31799,53061,52984,24818,29621,714737,74187,108842,26907,24799,42175,19072,20306,316307,473581,158857,12891,90061,27862,11468,13937,788789,223588,52685,8925,72529,10363,8411,4617,381151,62.64,62.230000000000004,30.93,55.4,45.92,62.14,45.53,60.43,217901,45941,3066,49129,7802,4625,8179,336775,345905,22885,1877,40286,6103,1554,7496,426755,89.36,92.24,54.13,91.8,78.29,65.6,66.76,88.60000000000001,76055,2077,141,2579,725,82267,93146,3093,218,19778,928,117358,842481,271527,50642,146129,94942,27493.0,411582,164646,41018,94580,75266,792218,419225,205120,45102,74113,73713,821312,65.4,83.03,93.17,73.13,88.18,72.16,78.10000000000001,87.28,93.07000000000001,79.53,86.74,81.15,784739,264134,49885,136179,92844,1333793,93.89,92.64,66.34,89.13,87.22,92.31,306174,178315,43691,48909,83234,665215,63905,101689,34901,21992,63077,289978,448859,162814,18369,85453,38154,754532,212372,48901,11512,70142,15836,0,2012-13,INDIA,2953921,1883787,463457,577598,404086,292601,178286,6820842,2270297,1568056,449845,455894,347854,264253,138611,5495285,421484,193434,12437,77176,39833,19768,25194,789366,260118,119385,4326,44805,23810,11019,18686,482159,928876,524618,188373,213914,239829,113296,128701,2337630,651580,175984,3059,106364,32788,8381,19266,,646697,175106,3166,103936,32923,8593,20706,,95.25,91.1,224.0,226.0,16.0,404020,0,2012-13,INDIA,59041230,37441152,1951168,11618415,8976529,2665175,3015566,349994,18590728,19141854,12562640,3841178,6061762,5610662,3035197,903052,53436517,33115135,898192,10736494,6841301,2388396,2487797,250706,11585558,9651459,4962782,3153076,3416662,2833031,1684958,518103,5429171,396828,82012,1485961,83533,40731,39488,7558131,39170477,27864210,6748497,8159644,7316443,3893714,3046561,96791729,5180725,567015,66942,1595102,86990,0,0,7504235,40494962,29292688,8007079,8301599,10150021,0,0,96416110,9341,8325,0,0,24727,0,13756994,13176573,13189005,12793212,12260913,10966071,10599036,10101579,28671045,27323785,27198823,26327465,25263442,22506687,21696581,20723415,133701,135672,147779,140430,130237,111382,111425,90994,133701,135672,147779,140430,130237,111382,111425,90994,27284611,13210780,12584198,6145703,15202000,7364016,6361241,3105310,57835762,28137133,28344667,13866447,19139710,9420693,7863433,4048353,1083162,500543,433708,423262,431807,315685,292243,282853,46310770,26112665,4421390,12058471,2863875,3593306,1279858,5097500,6052431,8424696,325782,1910885,3089092,778094,6725011,337684,216917,897214,4110969,177545,834079,2741377,4576651,131260,12103,1753684,239427,1553342,749638,6233183,571129,89618,27723,150731,20560,90.78,64.24,80.07000000000001,1864274,1522976,646217,103012,207515,479778,76615,4554,86.74,115456597,50553184,41746780,42379870,20514339,21121790,3959575,1319138,1597861,11071942,12964121,6775379,7468489,23284757,28707850,9371272,13722107,171727,176306,234773,294197,383918,378446,244597,295592,0,2012-13,INDIA,2009713,1155599,101377,400846,560743,102568,196269,632,569536,667749,512251,135891,336970,233990,161544,167,1073051,871560,396131,162738,341429,177299,121231,126,757,574,0,0,1884,3215,69616,57715,15290,10242,5050,10907,3914,26,26,357638,280773,24496,26989,33869,21666,22670,58,675762,498247,65918,101459,59202,56704,34010,510,801053,642389,242235,206502,320929,161128,179472,80,412039,298468,248680,173203,405092,87109,104717,113,15484,15335,16324,4033,36656,4031,3990,1,209,168,251,81,391,62,87,0,1444,15,311,673,55,0,0,0,9021,32022,144678,247599,101424,3784,59,19,1251985,917425,208923,354783,508279,162871,225923,267,1073051,871560,396131,162738,341429,177299,121231,126,8208,4125,8451,5661,11536,1437,1706,395,162104,55912,9041,10420,19818,8284,6784,16,160700,36025,19201,8810,24666,10013,6784,1,11,3,3,5,4,0,1,0,225360,130227,23166,52121,77739,20535,28080,0,153971,92638,27056,21241,45940,13351,13542,0,187724,97396,11264,46962,22544,19006,15376,0,106548,64893,11199,23590,11943,13013,7174,0,97567,52369,69733,28465,32996,11221,498130,311759,10387,96028,81750,13169,43499,396585,277685,20024,48141,61954,10208,24522,82.4,82.5,82.17,52.7,44.9,49.09,80.3,80.60000000000001,79.94,76814,61702,28122,5681,8019,23346,4616,6,5605.0,8259.0,140.0,59.0,63.0,834.0,495.0,2383.0,3343.0,92.0,213.0,20.0,346.0,114.0
1,1,2012-13,JAMMU & KASHMIR,222236,22,22,201,1627,7292,28131,12548.93,27.21,16.01,23.71,883,7.4,11.9,68.74,78.26,58.01,1,2012-13,JAMMU & KASHMIR,13288,7843,288,131,147,1085,321,0,1305,2093,617,1,2,1009,1,0,0,0,0,0,0,0,0,0,12538,7280,261,116,132,962,294,0,1087,1565,299,0,2,565,0,0,2665,207,4,3,16,3,5,2903,1902,24,0,1,0,1,0,1928,11641,8571,857,122,137,1926,315,23569,2973,4404,772,39,108,1628,200,10124,2836,3583,708,51,108,1432,201,8919,50.81,73.65,95.77,78.33,96.4,91.77,94.10000000000001,64.19,14.13,29.88,66.44,31.580000000000002,50.0,61.97,40.78,25.43,12279,9072,887,123,144,2054,315,24874,97.52,99.38,84.03,74.05,83.67,98.34,96.88,97.79,1323,2021,710,46,102,1374,153,5729,488,1760,662,11,91,1119,97,4228,853,2029,156,17,22,454,74,3605,10292,1761,84,105,5,147,2,12396,39.27,63.230000000000004,55.56,31.3,40.82,74.19,50.47,49.370000000000005,5145,2218,74,7,24,306,73,7847,13202,3060,58,93,69,193,182,16857,61.68,70.59,60.07,67.94,63.95,71.61,86.29,64.69,2852,212,1,1,1,3067,2135,43,0,0,0,2178,14371,9859,2682,129,452,17388.0,3002,4422,2220,40,293,9977,2718,3518,1991,51,275,8553,15.02,43.14,83.17,51.28,71.02,32.77,32.5,64.42,88.79,52.63,81.11,50.22,11031,8558,2616,114,417,22736,96.14,99.06,93.65,82.03,93.96000000000001,96.9,1241,1964,1862,40,192,5299,455,1690,1665,9,166,3985,840,2004,495,18,85,3442,9806,1551,200,101,7,1,2012-13,JAMMU & KASHMIR,36770,54854,12546,523,852,19568,1556,126669,26310,38562,11632,368,657,16615,1005,95149,7858,11726,743,109,141,2239,411,23227,2446,4357,261,53,86,913,193,8309,7301,13070,4870,261,684,7469,1094,34749,10316,6885,147,41,66,903,239,0.0,11137,7150,171,67,65,907,235,0.0,95.61,91.01,209.83,210.0,14.26,2787,1,2012-13,JAMMU & KASHMIR,324953,582003,50910,6548,11799,116530,20562,0,67563,271710,179530,20,93,226837,43,0,309476,536893,39489,5852,10837,103882,19017,0,54567,199344,73207,0,93,125344,0,0,36666,913,0,25,0,0,0,37604,195221,408952,99361,5175,4500,155126,9987,878322,43862,1803,0,0,0,0,0,45665,197913,435181,245146,5506,15968,0,0,899714,3192816,1037247,196839,0,1748158,0,137941,119678,113008,104475,102253,98142,100391,102434,291049,252465,238528,220925,215818,208222,212470,219624,1288,1133,1158,981,997,977,933,835,1288,1133,1158,981,997,977,933,835,98289,46233,53937,24947,195480,92748,85834,39489,111188,53189,56648,27166,821212,395686,421290,201724,2859,1565,1628,1053,1290,2691,2734,4505,363211,798835,206092,5612,10348,319841,18361,619,499,20,0,0,0,0,302,169,202,0,0,225,0,47,77,0,0,0,3,0,10,0,0,0,0,0,0,67.48,57.480000000000004,77.60000000000001,0,0,0,0,0,0,0,0,90.51,980248,487711,339880,349233,184491,18512,3072,4495,6526,128309,125600,63794,58584,1890,1851,1871,3834,1063,998,1095,1976,550,453,698,1066,1,2012-13,JAMMU & KASHMIR,27323,44747,3880,839,2308,10798,3770,0,7350,20315,10670,5,18,15003,8,0,10092,23606,8131,254,742,12818,1104,0,116659,55832,12753,0,85411,270655,17,44,5,0,2,11,0,0,0,1702,3535,526,15,30,1137,106,0,6464,12662,1416,50,116,3645,218,0,9205,25315,6869,169,663,12843,1737,0,4875,13602,5154,139,1385,7215,1628,0,122,346,156,9,78,200,30,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,23,766,9252,8982,4453,111,2,0,12294,31888,5974,128,1528,12175,2615,0,10092,23606,8131,254,742,12818,1104,0,0,12,21,0,5,58,0,0,8200,6496,275,3,40,418,39,0,4087,3060,149,459,11,332,20,0,0,0,0,0,0,0,0,0,1056,1473,343,2,81,665,41,0,826,1316,349,5,32,564,10,0,2695,4252,436,6,92,1003,328,0,1191,1995,205,83,32,567,109,0,1276,1027,51,34,16,3,5605,8259,140,59,63,834,495,2383,3343,92,213,20,346,114,58.480000000000004,71.47,63.36,30.79,45.65,35.76,39.54,39.75,39.61,0,0,0,0,0,0,0,0,13282.0,15.0,19.0,5490.0,3483.0,22.0,2583.0,9309.0,33.0,44.0,1900.0,1987.0,11.0,1165.0
2,2,2012-13,HIMACHAL PRADESH,55673,12,12,124,2249,10024,17547,6856.51,10.04,11.14,12.81,974,25.2,5.7,83.78,90.83,76.6,2,2012-13,HIMACHAL PRADESH,10619,6,23,2279,1335,6,843,0,646,663,411,2,14,695,3,0,2,0,0,0,0,0,0,0,10376,4,14,2231,1249,3,824,0,589,602,291,2,7,569,2,0,423,1,1,130,28,1,21,605,1153,0,0,64,0,0,1,1218,8863,652,430,1837,1239,684,713,14418,9112,646,420,1835,1265,688,753,14719,6080,441,360,1213,916,522,489,10021,97.09,99.25,100.0,96.67,99.39,99.86,99.05,97.57000000000001,68.01,82.96000000000001,96.07000000000001,71.2,87.12,93.87,79.76,72.73,11147,668,434,2247,1347,701,840,17384,99.59,0.0,4.17,98.73,98.65,0.0,99.53,99.14,9184,657,431,1815,1335,697,800,14919,427,552,409,293,1073,646,408,3808,6910,92,68,1159,973,105,584,9891,872,482,132,1177,65,310,110,3148,87.41,0.0,0.0,78.94,87.94,0.0,86.95,85.94,3530,0,2,788,57,1,124,4502,8973,168,19,1772,259,51,320,11562,96.41,33.33,54.17,94.3,94.23,33.33,95.73,95.7,485,2,3,133,23,646,883,0,0,46,4,933,11215,718,1045,2275,2135,30181.0,6745,688,1014,1339,1800,11586,5359,495,789,1113,1270,9026,95.14,91.36,98.56,97.67,99.24000000000001,96.02,76.69,95.26,98.37,79.13,89.07000000000001,80.58,11070,717,1043,2222,2125,17177,99.77,9.09,28.21,99.52,99.25,99.41,7233,694,1027,1520,2050,12524,483,603,991,86,1096,3259,6370,81,118,1054,1367,8990,788,481,367,1136,191,2,2012-13,HIMACHAL PRADESH,34562,5815,5480,6707,4618,6367,2561,66110,24264,5644,5438,5245,3457,6371,1818,52237,7019,190,72,1215,1045,103,610,10254,4261,23,10,283,588,18,323,5506,14281,1689,2969,3217,4549,2905,2190,31800,10525,2,5,2178,1269,2,829,0.0,10534,0,6,2194,1306,3,834,0.0,95.63,91.38,247.12,245.6,17.23,12202,2,2012-13,HIMACHAL PRADESH,381083,843,9023,85692,125138,1205,54716,0,24639,58339,133360,144,1492,109110,52,0,365055,554,4793,83176,114114,517,53450,0,21117,51996,81968,144,604,86757,30,0,23412,0,0,1485,0,0,84,24981,202958,24982,59593,42482,62029,45865,27526,465435,18626,0,0,1107,245,0,0,19978,212918,28721,92626,46778,93840,0,0,474883,83958,120006,40519,3379,18493,0,53621,56877,59907,60575,58886,57901,58220,59448,113403,119825,125378,127273,124219,122785,124785,127230,448,498,577,690,596,696,703,712,448,498,577,690,596,696,703,712,171169,83489,103452,49918,34269,16738,21929,10582,77798,36756,52865,24360,10577,5042,5815,2566,397,358,314,353,315,359,285,315,264753,10814,15363,60906,91320,18584,36146,13111,30518,97749,183,4327,55640,298,19,241,90,32,50,197,0,0,0,127,0,0,4732,673,0,0,0,0,52,130,0,86.74,75.26,95.01,62,0,0,0,0,0,0,0,98.63,506266,286844,195716,198652,133864,130173,40529,2535,2528,13060,13569,4468,4629,32518,33149,15889,16822,436,419,397,326,217,272,314,289,2,2012-13,HIMACHAL PRADESH,25274,56,487,9208,22670,81,6195,0,2917,5553,7075,14,171,7772,18,0,11936,3549,4865,2030,8017,4795,1814,0,2068,3266,1167,160,592,7253,627,7,7,120,93,12,46,0,0,8207,286,229,1843,1774,318,911,0,4790,737,448,1005,1041,825,472,0,7357,2215,2303,2360,4077,3087,1720,0,5094,1795,4000,2546,13297,2859,2353,0,196,62,221,146,1498,119,154,0,2,1,7,3,10,4,1,0,0,0,0,0,0,0,0,0,13,400,1131,2169,2355,146,0,0,14333,1554,2350,5993,13773,2429,3843,0,11936,3549,4865,2030,8017,4795,1814,0,4,0,0,0,0,0,0,0,1187,176,96,838,640,214,351,0,739,330,251,361,411,415,205,0,0,0,0,0,0,0,0,0,3342,260,255,1128,2297,438,743,0,1576,435,345,336,1097,481,301,0,1370,85,82,462,841,99,289,0,819,168,126,155,542,201,125,0,1308,699,51,33,7,4,13282,15,19,5490,3483,22,2583,9309,33,44,1900,1987,11,1165,95.42,96.34,95.76,86.26,87.06,86.54,93.49,89.61,90.79,8,0,0,0,0,0,0,0,7261.0,5.0,60.0,3118.0,2658.0,13.0,3077.0,12688.0,18.0,218.0,3780.0,4113.0,22.0,3905.0
